Title,Meta_score,Summary,User_score,GamesRelease,Descrition
HALF-LIFE 2,96,[metacritic's 2004 pc game of the year] by taking the suspense challenge and visceral charge of the original and adding startling new realism and responsiveness half-life 2 opens the door to a world where the player's presence affects everything around him from the physical environment to the behaviors -- even the emotions -- of both friends and enemies the player again picks up the crowbar of research scientist gordon freeman who finds himself on an alien-infested earth being picked to the bone its resources depleted its populace dwindling freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at black mesa and a lot of people -- people he cares about -- are counting on him [vivendi universal],9.0,Nov 16 2004,mofficial site: http://half-life2.com/ valve software action shooter shooter first-person sci-fi sci-fi arcadenumber of players: 1 playeresrb descriptors: blood intense violenceonline modes: team oriented no online multiplayer
GRAND THEFT AUTO V,96,los santos: a sprawling sun-soaked metropolis full of self-help gurus starlets and fading celebrities once the envy of the western world now struggling to stay alive in a time of economic uncertainty and cheap reality tv amidst the turmoil three very unique criminals plot their own chances of survival and success: franklin a street hustler looking for tangible opportunities and serious money; michael a professional ex-con whose retirement is less rosy than he figured it would be; and trevor a violent dude driven by the opportunity for a cheap high and his next big score with options at a premium the crew risks it all in a myriad of daring and dangerous heists that could set them up for life,7.8,Apr 13 2015,mofficial site: http://www.rockstargames.com/ rockstar north modern action adventure open-world up to 32 players
OUT OF THE PARK BASEBALL 2007,96,"[metacritic's 2007 pc game of the year] ootp baseball 2007 features some user interface improvements that make the game easier and more enjoyable including: a league creation wizard a simplified navigation model with intuitive icons a detailed in-game help system improved in-game screens and manager and online league commissioner ""portals"" that centralize the most commonly-used tasks [sports interactive]",2.5,Mar 23 2006,eofficial site: http://www.ootpbaseball2006.com/ sports interactive sports traditional team baseball management management simnumber of players: 1 player
THE ORANGE BOX,96,games included in the orange box compilation: the original half-life 2 - the player again picks up the crowbar of research scientist gordon freeman who finds himself on an alien-infested earth being picked to the bone its resources depleted its populace dwindling freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at black mesa and a lot of people - people he cares about - are counting on him half-life 2: episode one - the player reprises his role of dr freeman who must immediately face the repercussions of his actions in city 17 and the citadel freeman reconnects with alyx vance and her robot dog as they continue their support of the resistance's battle against the combine forces half-life 2: episode two -- the second installment in valve's episodic trilogy advances the award-winning story leading the player to new locations outside of city 17 portal - a pioneering type of single player action game that rewrites the rules for how players approach and manipulate their environment – much like how half-life 2's gravity gun reinvented the way gamers interact with objects in the game team fortress 2 - an all-new version of the legendary title that spawned team based multiplayer action games the game's daring new art style features the most advanced graphics of any source-based game released to date [valve software],9.2,Oct 10 2007,mofficial site: http://orange.half-life2.com/index.html valve software action miscellaneous shooter compilation first-person sci-finumber of players: 1 playeresrb descriptors: blood and gore intense violence languagesound: dolby digital 5.1connectivity: system linkonline modes: team orientedresolution: 1080i 1080p 480p 720p widescreen 16 players online up to 32 players
HALF-LIFE,96,half-life combines great storytelling in the tradition of stephen king with intense action and advanced technology to create a frighteningly realistic world where players need to think smart to survive half-life has won more than 50 game of the year awards from publications around the world and was named 'best pc game ever' in pc gamer's november 1999 issue [sierra],8.7,Nov 19 1998,m valve software action shooter shooter first-person sci-fi sci-fi arcadenumber of players: 1-32 players online multiplayer
BIOSHOCK,96,"going beyond ""run and gun corridors"" ""monster-closet ais"" and static worlds bioshock creates a living unique and unpredictable fps experience after your plane crashes into icy uncharted waters you discover a rusted bathysphere and descend into rapture a city hidden beneath the sea constructed as an idealistic society for a hand picked group of scientists artists and industrialists the idealism is no more now the city is littered with corpses wildly powerful guardians roam the corridors as little girls loot the dead and genetically mutated citizens ambush you at every turn take control of your world by hacking mechanical devices commandeering security turrets and crafting unique items critical to your very survival upgrade your weapons with ionic gels explosives and toxins to customize them to the enemy and environment genetically modify your body through dozens of plasmid stations scattered throughout the city empowering you with fantastic and often grotesque abilities explore a living world powered by ecological ai where the inhabitants have interesting and consequential relationships with one another that impact your gameplay experience experience truly next generation graphics that vividly illustrate the forlorn art deco city highlighted by the most detailed and realistic water effects ever developed in a video game make meaningful choices and mature decisions ultimately culminating in the grand question: do you exploit the innocent survivors of raptureor save them? [2k games]",8.5,Aug 21 2007,mofficial site: http://www.2kgames.com/bioshock/enter.html irrational games 2k marin action shooter shooter first-person sci-fi sci-fi arcadenumber of players: 1 playeresrb descriptors: blood and gore drug reference intense violence sexual themes strong language no online multiplayer
BALDUR'S GATE II: SHADOWS OF AMN,95,"an epic continuation of the story that began in ""baldur's gate"" this rpg is set along the southern portion of the sword coast a detailed and rich area of the forgotten realms called amn it features 300 spells and 130-plus monster types compared to only 130 spells and 60 monster types in baldur's gate [interplay]",9.1,Sep 24 2000,t bioware role-playing pc-style rpg pc-style rpg western-stylenumber of players: 1-6 playersesrb descriptors: animated blood animated violence use of alcohol and tobacco violencesound: dolby surround up to 6 players
DIVINITY: ORIGINAL SIN II - DEFINITIVE EDITION,95,the eagerly anticipated sequel to the award-winning rpg gather your party master deep tactical combat join up to 3 other players - but know that only one of you will have the chance to become a god,9.0,Aug 31 2018,m larian studios games role-playing western-style 2 players
PORTAL 2,95,valve is working on a full-length sequel to its award-winning mind-bending puzzle action game for the xbox 360 and pc,8.9,Apr 18 2011,e10+official site: http://www.thinkwithportals.com/ valve software action shooter shooter first-person sci-fi sci-fi arcadeesrb descriptors: fantasy violence mild language
THE ELDER SCROLLS V: SKYRIM,94,the next chapter in the elder scrolls saga arrives from the bethesda game studios skyrim reimagines the open-world fantasy epic bringing to life a complete virtual world open for you to explore any way you choose play any type of character you can imagine and do whatever you want; the legendary freedom of choice storytelling and adventure of the elder scrolls is realized like never before skyrim's new game engine brings to life a complete virtual world with rolling clouds rugged mountains bustling cities lush fields and ancient dungeons choose from hundreds of weapons spells and abilities the new character system allows you to play any way you want and define yourself through your actions battle ancient dragons like you've never seen as dragonborn learn their secrets and harness their power for yourself,8.3,Nov 10 2011,mofficial site: http://www.elderscrolls.com/skyrim/ bethesda game studios role-playing first-person first-person western-styleesrb descriptors: blood and gore intense violence sexual themes use of alcohol no online multiplayer
