Title,Meta_score,Summary,User_score,GamesRelease,Descrition
RED DEAD REDEMPTION 2,97,developed by the creators of grand theft auto v and red dead redemption red dead redemption 2 is an epic tale of life in america’s unforgiving heartland the game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience america 1899 the end of the wild west era has begun after a robbery goes badly wrong in the western town of blackwater arthur morgan and the van der linde gang are forced to flee with federal agents and the best bounty hunters in the nation massing on their heels the gang has to rob steal and fight their way across the rugged heartland of america in order to survive as deepening internal fissures threaten to tear the gang apart arthur must make a choice between his own ideals and loyalty to the gang that raised him [rockstar],8.5,Oct 26 2018,m rockstar games action adventure open-world up to 32 players
GRAND THEFT AUTO V,97,"the sprawling sun-soaked metropolis of los santos is chock full of self-help coaches starlets and c-list celebrities once on top of the media world now struggling to stay relevant in time of economic malaise and lowest-common-denominator reality tv amidst this madness three unique criminals plan their own chances of survival and success: franklin a street-level hustler in search of opportunities for serious money; michael an ex-con whose ""retirement"" is a less rosy than he hoped it would be; and trevor a violent dude driven by the chance for a quick high and the next big score nearly out of options the crew risks it all in a series of daring and dangerous heists that could set them up for life - one way or the other",8.4,Nov 18 2014,mofficial site: http://www.rockstargames.com/ rockstar north action adventure modern open-world up to 30 players
PERSONA 5 ROYAL,95,prepare for an all-new rpg experience in persona 5 royal based in the universe of the award-winning series persona! don the mask of joker and join the phantom thieves of hearts break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! persona 5 royal is packed with new characters confidants story depth new locations to explore and a new grappling hook mechanic for stealthy access to new areas with a new semester at shujin academy get ready to strengthen your abilities in the metaverse and in your daily life persona 5 royal presents a unique visual style and award nominated composer shoji meguro returns with an all-new soundtrack explore tokyo unlock new personas customize your own personal thieves den discover a never-before-seen story arc cutscenes alternate endings and more! even for the most seasoned phantom thieves among us persona 5 royal is a new challenge to defy conventions discover the power within and fight for justice wear the mask reveal your truth,8.3,Mar 31 2020,m atlus role-playing japanese-style no online multiplayer
THE LAST OF US REMASTERED,95,the last of us has been rebuilt for the playstation4 system now featuring full 1080p higher resolution character models improved shadows and lighting in addition to several other gameplay improvements 20 years after a pandemic has radically changed known civilization infected humans run wild and survivors are killing each other for food weapons; whatever they can get their hands on joel a violent survivor is hired to smuggle a 14 year-old girl ellie out of an oppressive military quarantine zone but what starts as a small job soon transforms into a brutal journey across the us the last of us remastered includes the abandoned territories map pack reclaimed territories map pack and the critically acclaimed the last of us: left behind single player campaign that combines themes of survival loyalty and love with tense survival-action gameplay remastered features: -explore a brutal post-pandemic world fully realized with the power of playstation4 system -includes additional game content: over $30 in value -delve into ellies past in left behind the single-player prequel chapter -eight new multiplayer maps in the abandoned and reclaimed territories packs -in-game cinematic commentary from the cast and creative director,9.2,Jul 29 2014,m naughty dog action adventure general modern up to 8 players
GOD OF WAR,94,his vengeance against the gods of olympus far behind him kratos now lives as a man in the lands of norse gods and monsters it is in this harsh unforgiving world that he must fight to survive… and teach his son to do the same as mentor and protector to a son determined to earn his respect kratos is faced with an unexpected opportunity to master the rage that has long defined him questioning the dark lineage he’s passed on to his son he hopes to make amends for the shortcomings of his past set within the untamed forests mountains and realms of norse lore god of war features a distinctly new setting with its own pantheon of creatures monsters and gods [playstationcom],9.2,Apr 20 2018,m sce santa monica action adventure linear no online multiplayer
XCOM 2: WAR OF THE CHOSEN,93,xcom 2: war of the chosen adds extensive new content in the fight against advent when additional resistance factions form in order to eliminate the alien threat on earth in response a new enemy known as the “chosen” emerges with one goal: recapture the commander this expansion includes new hero classes to counter the “chosen” new enemies missions environments and increased depth in strategic gameplay,6.7,Aug 29 2017,t firaxis games strategy turn-based tactics
THE LAST OF US PART II,93,five years after their dangerous journey across the post-pandemic united states ellie and joel have settled down in jackson wyoming living amongst a thriving community of survivors has allowed them peace and stability despite the constant threat of the infected and other more desperate survivors when a violent event disrupts that peace ellie embarks on a relentless journey to carry out justice and find closure as she hunts those responsible one by one she is confronted with the devastating physical and emotional repercussions of her actions,5.7,Jun 19 2020,m naughty dog general action adventure survival no online multiplayer
PERSONA 5,93,"beneath the veneer of typical urban high school life a group of teenagers mask their mysterious alter egos their ""phantom thief"" side who are they? why are they dressed as such? what are their motives? and why are they being pursued? a picaresque coming-of-age story persona 5 brings a new twist to the rpg genre assume the role of a second-year high school student who becomes a persona-user through an unexpected incident having moved to tokyo just before the start of the school year he finds residence at a cafe run by his parents' friend and is about to get his first taste of school life in the big city the protagonist seems quiet and well-mannered at first glance but gives a completely different impression once he has donned his ""phantom thief"" guise what is the motivation of his alter ego? arsene is the protagonist's initial persona characterized by a mask-like face and a pair of huge black wings some suspect an association between its name and the famous gentleman-thief arsene lupin what is the origin of this persona and what power does it hold? this is an account of the wild adventures experienced by a team of young misfits who grow dramatically along the way while attending shujin high school the protagonist will encounter a number of individuals each with his or her own distinctive personality and charm school life in the city is full of surprises and interesting events! it will most definitely be a fun year for the protagonist living as an ordinary student however he and his friends become involved in an incident which leads to the awakening of their personas no one would ever suspect that these adolescents will eventually shake the world welcome to the next iteration of the persona series boasting a brand new metropolitan setting all-new cast and fresh original story [atlus]",8.7,Apr 4 2017,m atlus role-playing japanese-style no online multiplayer
METAL GEAR SOLID V: THE PHANTOM PAIN,93,following the prologue metal gear solid v: ground zeroes metal gear solid v: the phantom pain concludes the metal gear solid v experience by following the story of the protagonist of the series big boss (aka snake) the metal gear solid v experience is creator and director hideo kojima's first time incorporating open world gameplay to the groundbreaking metal gear franchise,8.2,Sep 1 2015,mofficial site: http://www.metalgearsolid.com/ kojima productions moby dick studio modern action adventure modern open-world up to 16 players
UNCHARTED 4: A THIEF'S END,93,set 3 years after the events of uncharted 3 nathan drake has apparently left the world of fortune hunting behind however it doesn’t take long for adventure to come calling when drake’s brother sam re-emerges asking for his help to save his own life and offering an adventure drake cannot resist on the hunt for captain henry avery’s long-lost treasure sam and drake embark on a journey to find libertalia the pirate utopia deep in the forests of madagascar uncharted 4: a thief’s end takes players around the globe through jungle isles urban cities and snow-capped peaks on the search for avery’s fortune [naughty dog],8.6,May 10 2016,tofficial site: http://unchartedthegame.com/ naughty dog general modern action adventure linear up to 10 players
JOURNEY,92,the pioneers that brought you the award-winning playstation network titles flow & flower are back with another title that challenges traditional gaming conventions with journey thatgamecompany (tgc) continues its tradition of delivering simple gameplay and accessible controls in a rich interactive environment that invites players to explore and experience emotional chords that are still uncommon in video games an exotic adventure with a more serious tone journey presents tgcs unique vision of an online adventure experience awakening in an unknown world the player walks glides and flies through a vast and awe-inspiring landscape while discovering the history of an ancient mysterious civilization along the way journeys innovative approach to online play encourages players to explore this environment with strangers who cross their path from time to time by traveling together they can re-shape the experience creating authentic moments they will remember and discuss with others,8.3,Jul 21 2015,e tricky pixels action platformer 3d 2 players
BLOODBORNE,92,bloodborne is an action rpg in which you hunt for answers in the ancient city of yharnam now cursed with a strange endemic illness spreading through the streets like a disease peril death and madness infest this dark world and you're tasked with uncovering its darkest secrets which will be necessary for you to survive armed with a singular arsenal of weaponry including guns and saw cleavers you'll require wits strategy and reflexes to dispatch the agile and intelligent enemies that guard the city's underbelly you will utility holy chalices to access an array of vast underground ruins chock full of traps beasts and rewards to explore and conquer on your own or with other people,8.8,Mar 24 2015,m from software fantasy role-playing action adventure general action rpg up to 5 players
