Title,Meta_score,Summary,User_score,GamesRelease,Descrition
THE LEGEND OF ZELDA: BREATH OF THE WILD,97,forget everything you know about the legend of zelda games step into a world of discovery exploration and adventure in the legend of zelda: breath of the wild a boundary-breaking new game in the acclaimed series travel across fields through forests and to mountain peaks as you discover what has become of the ruined kingdom of hyrule in this open-air adventure explore the wilds of hyrule any way you like - climb up towers and mountain peaks in search of new destinations then set your own path to get there and plunge into the wilderness along the way you'll battle towering enemies hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey more than 100 shrines of trials to discover and explore - shrines dot the landscape waiting to be discovered in any order you want search for them in various ways and solve a variety of puzzles inside work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure * be prepared and properly equipped - with an entire world waiting to be explored you'll need a variety of outfits and gear to reach every corner you may need to bundle up with warmer clothes or change into something better suited to the desert heat some clothing even has special effects that for example can make you faster and stealthier * battling enemies requires strategy - the world is inhabited with enemies of all shapes and sizes each one has its own attack method and weaponry so you must think quickly and develop the right strategies to defeat them * amiibo compatibility - tap the wolf link amiibo (sold separately) to make wolf link appear in game wolf link will attack enemies on his own and help you find items you're searching for,8.7,Mar 3 2017,e10+ nintendo action adventure open-world no online multiplayer
SUPER MARIO ODYSSEY,97,new evolution of mario sandbox-style gameplay mario embarks on a new journey through unknown worlds running and jumping through huge 3d worlds in the first sandbox-style mario game since super mario 64 and super mario sunshine set sail between expansive worlds aboard an airship and perform all-new actions such as throwing mario's cap,8.9,Oct 27 2017,e10+ nintendo action platformer 3d no online multiplayer
DIVINITY: ORIGINAL SIN II - DEFINITIVE EDITION,93,"set a thousand years after the first game divinity: original sin ii presents a darker more grounded narrative and expands on the tactical combat system of its award-winning predecessor in divinity: original sin you were on a quest for the forbidden source magic now you yourself are a sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching void the divine is dead and the void is everywhere sourcerers are blamed and the divine order is leading the charge against the threat: you captured and sent to fort joy you will be ""cured"" of your powers -- no matter the cost but the order has secrets of its own that may cast doubt on its so-called holy mission as you escape from fort joy you realize that if the world remains godless it will be consumed by the void",8.6,Sep 4 2019,m larian studios games blitworks the dragon commanders role-playing western-style online multiplayer up to 4 players
HADES,93,defy the god of the dead as you hack and slash out of the underworld in this rogue-like dungeon crawler from the creators of bastion transistor and pyre hades is a god-like rogue-like dungeon crawler that combines the best aspects of supergiant's critically acclaimed titles including the fast-paced action of bastion the rich atmosphere and depth of transistor and the character-driven storytelling of pyre battle out of hell as the immortal prince of the underworld you'll wield the powers and mythic weapons of olympus to break free from the clutches of the god of the dead himself while growing stronger and unraveling more of the story with each unique escape attempt unleash the fury of olympus the olympians have your back! meet zeus athena poseidon and many more and choose from their dozens of powerful boons that enhance your abilities there are thousands of viable character builds to discover as you go befriend gods ghosts and monsters a fully-voiced cast of colorful larger-than-life characters is waiting to meet you! grow your relationships with them and experience thousands of unique story events as you learn about what's really at stake for this big dysfunctional family built for replayability new surprises await each time you delve into the ever-shifting underworld whose guardian bosses will remember you use the powerful mirror of night to grow permanently stronger and give yourself a leg up the next time you run away from home nothing is impossible permanent upgrades mean you don't have to be a god yourself to experience the exciting combat and gripping story though if you happen to be one crank up the challenge and get ready for some white-knuckle action that will put your well-practiced skills to the test signature supergiant style the rich atmospheric presentation and unique melding of gameplay and narrative that's been core to supergiant's games is here in full force: spectacular hand-painted environments and a blood-pumping original score bring the underworld to life,9.0,Sep 17 2020,t supergiant games action adventure general linear no online multiplayer
UNDERTALE,93,welcome to undertale in this rpg you control a human who falls underground into the world of monsters now you must find your way out or stay trapped forever ((healthy dog's warning: game contains imagery that may be harmful to players with photosensitive epilepsy or similar condition)) features: * killing is unnecessary: negotiate out of danger using the unique battle system * time your attacks for extra damage then dodge enemy attacks in a style reminiscent of top-down shooters * original art and soundtrack brimming with personality * soulful character-rich story with an emphasis on humor * created mostly by one person * become friends with all of the bosses! * at least 5 dogs * you can date a skeleton * hmmm now there are 6 dogs? * maybe you won't want to date the skeleton * i thought i found a 7th dog but it was actually just the 3rd dog * if you play this game can you count the dogs for me? i'm not good at it,8.1,Sep 18 2018,e10+ tobyfox 8-4 role-playing japanese-style no online multiplayer
ORI AND THE WILL OF THE WISPS,93,from the creators of ori and the blind forest comes the highly-anticipated sequel ori and the will of the wisps embark on an all-new adventure in a vast and exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to discover ori’s true destiny immerse yourself in a hand-crafted narrative experience with deeply emotional storytelling strikingly beautiful environments and a stunning soundtrack master new skills to guide ori through a journey of untold danger using newly acquired spirit weapons spells and attacks utilize an all-new shard system to power-up ori’s newfound abilities face larger-than-life bosses and seek help from an expansive cast of new characters who will help you uncover ori’s mysterious fate race to the top of the leaderboards in the all-new spirit trials mode where players dash burrow grapple and leap to high scores in unique speed-run challenges throughout the game,8.8,Sep 17 2020,e moon studios action platformer 2d no online multiplayer
SUPER SMASH BROS. ULTIMATE,93,inklings from the splatoon series as well as returning smash characters like mario and link will be making appearances in this classic nintendo franchise's switch debut faster combat new items new attacks new defensive options and more will keep the battle raging whether you’re at home or on the go,8.6,Dec 7 2018,e10+ nintendo hal labs bandai namco games sora ltd. action fighting 2d up to 8 players
CELESTE,92,help madeline survive her journey to the top of celeste mountain in this super-tight hand-crafted platformer from the creators of towerfall,8.6,Jan 25 2018,e10+ matt makes games inc. action platformer 2d no online multiplayer
BAYONETTA 2,92,in this climatic sequel to the critically acclaimed bayonetta action game players will be on the edge of their seats from start to finish brimming with epic gorgeous cut scenes and battles that are more exhilarating than ever this game never lets up on the action fight on top of a jet as it soars through a downtown city duke it out against a giant angel who bears a whip for an arm on top of a speeding train and take to the skies in a fight against a demonic monster while ascending to the top of a skyscraper,8.5,Feb 16 2018,mofficial site: http://www.nintendo.com/games/detail/8gnzglre8-ifs047qnofsrvdn8k6r4ey nintendo platinumgames action adventure linear no online multiplayer
MARIO KART 8 DELUXE,92,race and battle your friends in the definitive version of mario kart 8 hit the road with the definitive version of mario kart 8 and play anytime anywhere! race your friends or battle them in a revised battle mode on new and returning battle courses play locally in up to 4-player multiplayer in 1080p while playing in tv mode every track from the wii u version including dlc makes a glorious return plus the inklings appear as all-new guest characters along with returning favorites such as king boo dry bones and bowser jr race your friends in the definitive version of mario kart 8 only on nintendo switch race as every character on every track from the wii u version including dlc characters and tracks pop some balloons in the revamped battle mode complete with balloon battle and bob-omb blast battle on new courses like urchin underpass and battle stadium or returning ones such as gcn luigi's mansion and snes battle course 1 inkling girl & inkling boy from splatoon king boo dry bones and bowser jr join the roster players can choose a new smart steering feature which makes driving and staying on the track easy for novice players and kids even at 200cc three new vehicles have been added two are even inspired by splatoon carry two items at the same time returning items include boo the item stealing ghost and the feather which gives you a high jump in battle mode play your friends in local wireless multiplayer with up to 8 players drive through in 1080p hd quality in tv mode play on the go with handheld mode and play anytime anywhere,8.6,Apr 28 2017,e nintendo other racing arcade automobile up to 12 players
