Title,Meta_score,Summary,User_score,GamesRelease,Descrition
GRAND THEFT AUTO V,97,grand theft auto 5 melds storytelling and gameplay in unique ways as players repeatedly jump in and out of the lives of the game's three protagonists playing all sides of the game's interwoven story,7.9,Nov 18 2014,mofficial site: http://www.rockstargames.com/ rockstar north action adventure modern open-world up to 30 players
METAL GEAR SOLID V: THE PHANTOM PAIN,95,following the prologue metal gear solid v: ground zeroes metal gear solid v: the phantom pain concludes the metal gear solid v experience by following the story of the protagonist of the series big boss (aka snake) the metal gear solid v experience is creator and director hideo kojima's first time incorporating open world gameplay to the groundbreaking metal gear franchise,7.4,Sep 1 2015,mofficial site: http://www.metalgearsolid.com/ kojima productions moby dick studio modern modern action adventure open-world up to 16 players
CELESTE,94,help madeline survive her journey to the top of celeste mountain in this super-tight hand-crafted platformer from the creators of towerfall,7.3,Jan 26 2018,e10+ matt makes games inc. action platformer 2d no online multiplayer
THE WITCHER 3: WILD HUNT - BLOOD AND WINE,94,this expansion pack is an old-school add on with 20 hours of new adventures where players will travel to the land of toussaint,8.7,May 31 2016,m cd projekt red studio role-playing action rpg
INSIDE,93,hunted and alone a boy finds himself drawn into the center of a dark project the second game from limbo developer playdead,8.3,Jun 29 2016,m playdead action platformer 2d
FORZA HORIZON 4,92,for the first time in the racing and driving genre experience dynamic seasons in a shared open-world explore beautiful scenery collect over 450 cars and become a horizon superstar in historic britain,8.1,Sep 28 2018,e playground games racing simulation automobile up to 12 players
DIVINITY: ORIGINAL SIN II - DEFINITIVE EDITION,92,"set a thousand years after the first game divinity: original sin ii presents a darker more grounded narrative and expands on the tactical combat system of its award-winning predecessor in divinity: original sin you were on a quest for the forbidden source magic now you yourself are a sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching void the divine is dead and the void is everywhere sourcerers are blamed and the divine order is leading the charge against the threat: you captured and sent to fort joy you will be ""cured"" of your powers -- no matter the cost but the order has secrets of its own that may cast doubt on its so-called holy mission as you escape from fort joy you realize that if the world remains godless it will be consumed by the void",7.8,Aug 31 2018,m larian studios games role-playing western-style online multiplayer
WHAT REMAINS OF EDITH FINCH,92,what remains of edith finch is a collection of short stories about a cursed family in washington state,7.8,Jul 19 2017,t giant sparrow adventure 3d first-person no online multiplayer
THE SWAPPER,92,the swapper features a unique art style that uses real-world clay-models and found objects to create an explorable space station realised in unique detail; gameplay sees players swap between different bodies to achieve otherwise impossible tasks the game has won awards from indiecade develop and freeplay and been a finalist in many more,7.5,Jun 5 2015,e10+official site: http://facepalmgames.com/the-swapper/ facepalm games action platformer 2d
DRAGON QUEST XI S: ECHOES OF AN ELUSIVE AGE - DEFINITIVE EDITION,92,the definitive edition includes all the content from the original release of the acclaimed dragon quest xi and adds extra character-specific scenarios the choice of playing with the original soundtrack or a grand orchestral version of the music the ability to switch between 2d and 3d graphic modes a japanese voice-acting option and much more,8.4,Dec 4 2020,t square enix role-playing japanese-style no online multiplayer
THE WITCHER 3: WILD HUNT,91,with the empire attacking the kingdoms of the north and the wild hunt a cavalcade of ghastly riders breathing down your neck the only way to survive is to fight back as geralt of rivia a master swordsman and monster hunter leave none of your enemies standing explore a gigantic open world slay beasts and decide the fates of whole communities with your actions all in a genuine next generation format,9.2,May 19 2015,mofficial site: http://www.thewitcher.com/ cd projekt red studio action rpg role-playing action rpg no online multiplayer
RAYMAN LEGENDS,91,the glade of dreams is in trouble yet during a 100-year nap the nightmares multiplied and spread creating new monsters even more terrifying than before these creatures are the stuff of legend: dragons giant toads sea monsters and even evil luchadores with the help of murfy rayman and globox awake and must now help fight these nightmares and save the teensies rayman globox and the teensies are off wandering through an enchanted forest when they discover a mysterious tent filled with a series of captivating paintings as they look more closely they notice each painting seems to tell the story of a mythical world while focusing on a painting that shows a medieval land they are suddenly sucked into the painting entering the world and the adventure begins the gang must run jump and fight their way through each world to save the day and discover the secrets of every legendary painting,8.0,Feb 18 2014,e10+official site: http://www.raymanlegends.com/ ubisoft montpellier platformer 2d action platformer 2d no online multiplayer
SEKIRO: SHADOWS DIE TWICE,91,your death won’t come easily enter the world of late 1500s sengoku japan; a brutal bloody period of constant life-and-death conflict as tensions rise a compelling new story unfolds amongst the chaos introducing sekiro: shadows die twice a dark and twisted new gameplay experience developed by the renowned team at fromsoftware and published by activision directed by hidetaka miyazaki sekiro: shadows die twice is a third-person action-adventure game with rpg elements the single-player game puts players in the protagonist role of a hard-hearted warrior whose mission is to rescue his master a young lord and exact revenge on his arch nemesis as “sekiro” or the “one-armed wolf” players discover the many ways to strategically approach combat and engage enemies [activision],8.0,Mar 22 2019,m from software action adventure general no online multiplayer
FORZA HORIZON 3,91,you are now in charge of the horizon festival customize everything hire and fire your friends and explore australia in over 350 of the world’s greatest cars make your horizon the ultimate celebration of cars music and freedom of the open road how you get there is up to you with the new horizon blueprint feature you have the power to create and instantly share your custom gameplay you can even hire friends to star in your festival and win you more fans if they’re not winning you fans fire them danger sign jumps convoys drift zones and showcase events that pit you and against a fleet of speedboats a giant zeppelin and more select your own driver character customize your cars create vanity license plates – even choose your own horn sound drive to the music you love choosing from eight diverse radio stations or create a custom station using your own music collection in addition to 12-player online free roam and multiplayer racing all-new 4-player online co-op allows you and your friends to enjoy the variety competition and rewards of a horizon campaign together for the first time [xboxcom],8.0,Sep 23 2016,e playground games racing simulation automobile up to 12 players
DEAD CELLS,91,dead cells puts you in control of a failed alchemic experiment trying to figure out what's happening on a sprawling ever-changing and seemingly cursed island tough but fair combat responsive controls challenging foes permadeath and of course the emergency panic roll to get you out of trouble make for a demanding visceral and cathartic action game experience a roguevania mixing an interconnected world branching paths and unlockable skills with the constant adrenaline-pumping threat of permadeath no checkpoints you either vanquish the final boss in one go or you try again however you keep some of your progress for successive runs; new paths you've unlocked access to new levels mutations abilities and weapons speaking of weapons dead cells features a plethora of ways to slay your enemies a large variety of swords bows and of course spells but also whips grenades and turrets each one with its own unique twist plus mutations and scrolls allow you to build and customize your character differently with each and every run at the end of the day though it's your skills as a player that matter most! roguelites are about constantly sharpening your skills until what was an insurmountable obstacle becomes a walk in the park patience you'll get better!  eventually features: * roguevania: the progressive exploration of an interconnected world with the replayability of a rogue-lite and the adrenaline pumping threat of permadeath * 2d souls-lite action: tough but fair combat the iconic dodge roll more than 90 weapons and spells with unique gameplay the unforgiving action wed to the absence of any kind of safety net makes for an adrenalin pumping ride each and every run * nonlinear progression: sewers ossuary or ramparts? once unlocked special permanent abilities allow you to access new paths to reach your objective opt for the path that suits your current build your play style or just your mood * exploration: secret rooms hidden passages charming landscapes take a moment to stroll the towers and breath in that fresh sea mist infused air,8.0,Aug 7 2018,t motion twin action platformer 2d no online multiplayer
F1 2020,91,for the first time players can create their own f1® team by creating a driver then choosing a sponsor an engine supplier hiring a teammate and competing as the 11th team on the grid build facilities develop the team over time and drive to the top customise your 10-year career mode with a choice of f2™ championship introduction options and season lengths to allow for a more exciting multiple season career the addition of split-screen racing a new steering assist and a more accessible race experience means that you can enjoy the game with friends no matter what your skill level f1® 2020 features all the official teams drivers and 22 circuits including two new races: hanoi circuit and circuit zandvoort online connection required to download the final teams’ 2020 cars (as applicable) and f2™ 2020 season content,7.2,Jul 10 2020,e codemasters racing simulation automobile 2 players
HOLLOW KNIGHT: VOIDHEART EDITION,90,descend into the world of hollow knight the award-winning action adventure of insects and heroes explore twisting caverns ancient cities and deadly wastes battle tainted creatures and befriend bizarre bugs,8.8,Sep 25 2018,e10+ team cherry action adventure general no online multiplayer
MONSTER HUNTER: WORLD - ICEBORNE,90,monster hunter world: iceborne is the highly anticipated massive expansion to monster hunter: world the best-selling capcom title of all time with more than 12 million units shipped worldwide adding to the series total of more than 53 million units to date this gargantuan follow-up rivals the gameplay volume from the original release and features a new icy setting storyline monsters gameplay options and more the game's all-new story picks up after monster hunter: world and whisks hunters away to the newly discovered chilly locale that once fully explored becomes the largest region in world so far the new locale is home to several new and returning monsters ready to challenge hunters throughout their expeditions and raises the stakes with the added higher difficulty master rank iceborne continues the skill-based progression and robust crafting system found in world and expands that with several new gameplay features that broaden the player's combat repertoire all this leads to the ultimate hunter test against the mysterious new flagship monster velkhana,8.2,Sep 6 2019,t capcom role-playing action rpg
NIER: AUTOMATA - BECOME AS GODS EDITION,90,nier: automata is an action rpg set in a post-apocalyptic world overrun by machine lifeforms and abandoned by mankind as part of an android army created by humans to reclaim the planet players will fight their way through the mechanical horde using a collective of close-combat weapons and ranged attacks,9.0,Jun 26 2018,m platinumgames role-playing action rpg no online multiplayer
THE WITCHER 3: WILD HUNT - HEARTS OF STONE,90,hearts of stone features over ten hours of new adventures and introduces new characters powerful monsters unique romance and an entirely new storyline shaped by gamer choices the expansion also introduces a new system of runewords that significantly affects gameplay each runeword impacts a different aspect of in-game mechanics and allows the players to experiment with various strategies and tactics [cd projekt],9.2,Oct 13 2015,m cd projekt red studio role-playing action rpg
MONSTER HUNTER: WORLD,90,in monster hunter: world you assume the role of a hunter venturing to a new continent where you track down and slay ferocious beasts in heart-pounding battles this new land and its diverse inhabitants play a critical role in each quest as you strategically use the surrounding environment including terrain vegetation and wildlife to your advantage in battle or become hindered by the hazards they present as a hunter you must use your cunning and expertise to track and maneuver your targets throughout the intense evolving battles [capcom],7.1,Jan 26 2018,t capcom role-playing action rpg up to 16 players up to 4 players
ORI AND THE WILL OF THE WISPS,90,the little spirit ori is no stranger to peril but when a fateful flight puts the owlet ku in harm’s way it will take more than bravery to bring a family back together heal a broken land and discover ori’s true destiny from the creators of the acclaimed action-platformer ori and the blind forest comes the highly anticipated sequel embark on an all-new adventure in a vast world filled with new friends and foes that come to life in stunning hand-painted artwork set to a fully orchestrated original score ori and the will of the wisps continues the moon studios tradition of tightly crafted platforming action and deeply emotional storytelling,8.8,Mar 11 2020,e moon studios action platformer 2d no online multiplayer
NBA 2K17,90,nba 2k17 promises to take the game to new heights and continue to blur the lines between video game and reality,6.0,Sep 16 2016,e visual concepts sports team basketball sim
CURSE OF THE DEAD GODS,90,you seek untold riches eternal life divine powers -- it leads to this accursed temple a seemingly-infinite labyrinth of bottomless pits deadly traps and monsters your greed will lead you to death but that is not an escape rise to fight again delve deeper again defy the malignant deities that linger in this place battle through hordes of enemies in dark cavernous passages filled with traps and secrets of all sorts -- fire-spewing statues explosives hidden spikes and worse collect mystical relics and an arsenal of weapons to make yourself unstoppable corruption builds in you with every step -- encourage or ignore it but each powerful curse can be a double-edged sword,8.3,Feb 23 2021, passtech games role-playing action rpg no online multiplayer
YAKUZA 0,90,"tokyo 1988 getting rich is easy the women are beautiful and everyone wants in on the action it's time to become yakuza the glitz glamour and unbridled decadence of the 80s are back in yakuza 0! fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered then step into the silver-toed shoes of goro majima and explore his ""normal"" life as the proprietor of a cabaret club switch between three different fighting styles instantaneously and beat up all manner of goons thugs hoodlums and lowlifes take combat up a notch by using environmental objects such as bicycles sign posts and car doors for bone-crunching combos and savage take-downs fighting is not the only way to kill time in 1988's japan: from discos and hostess clubs to classic sega arcades there are tons of distractions to pursue in the richly detailed neon-lit world interact with the colourful denizens the red light district: help a budding s&m dominatrix learn her profession or ensure a street performer can make it to the bathroom in time there are 100 incredible stories to discover",8.0,Feb 26 2020,m ryu ga gotoku studios action adventure open-world no online multiplayer
CALL OF DUTY: MODERN WARFARE REMASTERED,89,"call of duty: modern warfare is back remastered in true high-definition featuring improved textures physically based rendering high-dynamic range lighting and much more relive one of the most iconic campaigns in history as you are transported around the globe including fan favorite missions ""all ghillied up"" ""mile high club"" and ""crew expendable"" you'll suit up as unforgettable characters sgt john ""soap"" mactavish capt john price and more as you battle a rogue enemy group across global hot spots from eastern europe and rural russia all the way to the middle east through an engaging narrative full of twists and turns call on sophisticated technology and superior firepower as you coordinate land and air strikes on a battlefield where speed and accuracy are essential to victory additionally team up with your friends in the online mode that redefined call of duty by introducing kill streaks xp prestige and more in customizable classic multiplayer modes",6.2,Nov 4 2016,m infinity ward arcade action shooter first-person tactical
YAKUZA: LIKE A DRAGON,89,rise like a dragon become ichiban kasuga a low-ranking yakuza grunt left on the brink of death by the man he trusted most take up your legendary bat and get ready to crack some underworld skulls in dynamic rpg combat set against the backdrop of modern-day japan,8.7,Nov 10 2020,m sega role-playing japanese-style no online multiplayer
F1 2019,89,the official videogame of the 2019 fia formula one world championship f1 2019 challenges you to defeat your rivals in the most ambitious f1 game in codemasters' history the game is released a full two months earlier during the formula 1 myworld grosser preis von osterreich 2019 weekend and unlike previous iterations ahead of the british german and hungarian races f1 2019 features all the official teams drivers and all 21 circuits from the 2019 season this year sees the inclusion of f2 with players being able to complete the 2018 season with the likes of george russell lando norris and alexander albon the 2019 f2 season content will be made available as a free digital update during the season having established itself as one of the highest rated racing franchises of all time f1 2019 builds on the success of previous iterations and delivers an experience that rivals the quality and production values of its real-life race counterpart with greater emphasis on graphical fidelity the environments have been significantly enhanced and the tracks come to life like never before night races have been completely overhauled creating vastly improved levels of realism and the upgraded f1 broadcast sound and visuals add further realism to all aspects of the race weekend,6.8,Jun 25 2019,e codemasters racing simulation automobile up to 20 players
DARK SOULS II: SCHOLAR OF THE FIRST SIN,89,dark souls ii: scholar of the first sin includes the 3 previously released dlc packs - crown of the sunken king crown of the old iron king and crown of the ivory king - along with additional features all versions of the game include the following features (existing dark souls ii owners will receive a patch to implement these elements): additional npcs added for an enhanced story experience parameter adjustments for improved game balance augmented item descriptions improved online matchmaking functionality [bandai namco],7.7,Apr 7 2015,t from software role-playing action rpg up to 6 players
STARDEW VALLEY,89,you've inherited your grandfather's old farm plot in stardew valley armed with hand-me-down tools and a few coins you set out to begin your new life can you learn to live off the land and turn these overgrown fields into a thriving home? it won't be easy ever since joja corporation came to town the old ways of life have all but disappeared the community center once the town's most vibrant hub of activity now lies in shambles but the valley seems full of opportunity with a little dedication you might just be the one to restore stardew valley to greatness! features: * turn your overgrown field into a lively farm! raise animals grow crops start an orchard craft useful machines and more! you'll have plenty of space to create the farm of your dreams * improve your skills over time as you make your way from a struggling greenhorn to a master farmer you'll level up in 5 different areas: farming mining combat fishing and foraging as you progress you'll learn new cooking and crafting recipes unlock new areas to explore and customize your skills by choosing from a variety of professions * become part of the local community with over 30 unique characters living in stardew valley you won't have a problem finding new friends! each person has their own daily schedule birthday unique mini-cutscenes and new things to say throughout the week and year as you make friends with them they will open up to you ask you for help with their personal troubles or tell you their secrets! take part in seasonal festivals such as the luau haunted maze and feast of the winter star * explore a vast mysterious cave as you travel deeper underground you'll encounter new and dangerous monsters powerful weapons new environments valuable gemstones raw materials for crafting and upgrading tools and mysteries to be uncovered * breathe new life into the valley since jojamart opened the old way of life in stardew valley has changed much of the town's infrastructure has fallen into disrepair help restore stardew valley to it's former glory by repairing the old community center or take the alternate route and join forces with joja corporation * court and marry a partner to share your life on the farm with there are 10 available bachelors and bachelorettes to woo each with unique character progression cutscenes once married your partner will live on the farm with you who knows maybe you'll have kids and start a family? * spend a relaxing afternoon at one of the local fishing spots the waters are teeming with seasonal varieties of delicious fish craft bait bobbers and crab pots to help you in your journey toward catching every fish and becoming a local legend! * donate artifacts and minerals to the local museum * cook delicious meals and craft useful items to help you out with over 100 cooking and crafting recipes you'll have a wide variety of items to create some dishes you cook will even give you temporary boosts to skills running speed or combat prowess craft useful objects like scarecrows oil makers furnaces or even the rare and expensive crystalarium * customize the appearance of your character and house with hundreds of decorative items to choose from you'll have no trouble creating the home of your dreams! * xbox controller support (with rumble)! (keyboard still required for text input) * over two hours of original music,7.8,Dec 14 2016,e10+ sickhead games llc eric barone role-playing general no online multiplayer
DESTINY: THE TAKEN KING,89,to battle the darkness and the taken army players get brand new subclasses with new supers warlocks now harness the power of an electric storm hunters carve a bow formed from gravitational void energy and titans summon a flaming hammer that can sear their adversaries from a range or deliver a devastating melee impact,5.3,Sep 15 2015,t bungie software bungie action shooter first-person arcade
INJUSTICE 2,89,every battle defines you power up and build the ultimate version of your favorite dc legends in injustice 2 with a massive selection of dc super heroes and super-villains injustice 2 allows you to equip every iconic character with unique and powerful gear earned throughout the game experience an unprecedented level of control over how your favorite characters look how they fight and how they develop across a huge variety of game modes this is your super hero your journey your injustice,8.2,May 16 2017,t netherrealm studios action fighting 2d 2 players
SONIC MANIA PLUS,89,sonic mania plus is the definitive retail enhanced version of the original sonic mania's digital release presented in a pristine collectible physical release the encore pack is a $5 upgrade fee for owners of the original game,6.9,Jul 17 2018,e sega action platformer 2d 2 players
FALLOUT 4,88,as the sole survivor of vault 111 you enter a world destroyed by nuclear war every second is a fight for survival and every choice is yours only you can rebuild and determine the fate of the wasteland welcome home,6.5,Nov 10 2015,m bethesda game studios general role-playing western-style no online multiplayer
N++,88,n++ is a fast-paced action-packed puzzle platformer set in the distant future you play as a ninja darting through obstacles narrowly evading a slew of inadvertently homicidal enemy robots and collecting delicious gold in a minimalist sci-fi world n++ is all about smooth physics deftly controlling the speed and inertia of the ninjaand the awesome feeling of fluidly moving through each level it's bursting with hundreds of single player and multiplayer levels each featuring a series of difficult challenges diabolical traps and a distinct visual style to nimbly soar through if that wasn't enough the integrated level-editor allows you to make and share your levels with every other person on the planet get ready for the biggest test of your ninja skills yet!,5.5,Oct 4 2017,e10+ metanet software inc. action platformer 2d
WOLFENSTEIN II: THE NEW COLOSSUS,88,wolfenstein ii: the new colossus is the highly anticipated sequel to the critically acclaimed wolfenstein: the new order developed by the award-winning studio machinegames an exhilarating adventure brought to life by the industry-leading id tech 6 wolfenstein ii sends players to nazi-controlled america on a mission to recruit the boldest resistance leaders left fight the nazis in iconic american locations equip an arsenal of badass guns and unleash new abilities to blast your way through legions of nazi soldiers in this definitive first-person shooter america 1961 the nazis maintain their stranglehold on the world you are bj blazkowicz aka terror-billy member of the resistance scourge of the nazi empire and humanitys last hope for liberty only you have the guts guns and gumption to return stateside kill every nazi in sight and spark the second american revolution,6.4,Oct 27 2017,m machinegames action shooter first-person arcade no online multiplayer
DIVINITY: ORIGINAL SIN ENHANCED EDITION,88,divinity original sin: enhanced edition is a much lauded role-playing-game that blends deep customization and humor with dynamic turn based combat either in online co-op split-screen co-op on your tv or even alone take advantage of a classless rpg system to create your heroes and conquer the evils of rivellon! embark upon a journey with up to three companions as you bend the very fabric of time where what seems like the case of a simple murder unravels into hours of quests facing fiendish foes magical polymorphs and dastardly bosses as a source hunter master the elements and use the environment to your advantage in dynamic combats mixing weather and magic to explode poison electrify freeze and burn your enemies!,7.7,Oct 27 2015,m larian studios games role-playing action rpg western-style 2 players
FIFA 14,88,shooting has been transformed players now have the intelligence to adjust their stride and approach angle to find the best position for hitting the back of the net well-hit balls feel satisfying and goals are rewarding as well as quality strikes players can now shoot while off balance or rushed,5.9,Nov 19 2013,eofficial site: http://www.ea.com/soccer/fifa14 ea canada sim sports traditional team soccer sim up to 22 players
ORI AND THE BLIND FOREST: DEFINITIVE EDITION,88,ori and the blind forest: definitive edition delivers a multitude of new areas difficulty options and gameplay upgrades that should appeal to both new and seasoned ori players,8.1,Mar 11 2016,e moon studios action platformer 2d no online multiplayer
DISHONORED 2,88,dishonored 2 takes your protagonist corvo attano or emily kaldwin to the coastal city of karnaca where the choices you make will have significant impact on the world,7.4,Nov 10 2016,m arkane studios action adventure general no online multiplayer
THE BANNER SAGA 3,88,the banner saga 3 is the epic conclusion to a sweeping viking saga six years in the making this strategic rpg acclaimed for its strong story and compelling characters has has won over 20 awards and been nominated for 4 bafta awards,7.4,Jul 26 2018,t stoic strategy turn-based tactics no online multiplayer
DOOM ETERNAL,88,doom eternal is the direct sequel to 2016's doom developed by id software doom eternal delivers the ultimate combination of speed and power along with the next leap in push-forward first-person combat as the doom slayer you’ll return to take your vengeance against the forces of hell set to an all-new pulse-pounding soundtrack composed by mick gordon you fight across dimensions as you slay new and classic demons with powerful new weapons and abilities [bethesda],8.8,Mar 19 2020,m id software action shooter first-person arcade up to 3 players
MINECRAFT: XBOX ONE EDITION,88,minecraft: xbox one edition is a game about placing blocks to build anything you can imagine and was revealed at e3 that it will be coming to the xbox one,7.2,Nov 18 2014,e10+official site: http://www.minecraft.net/ 4j studios mojang ab action adventure adventure 3d sandbox first-person fantasy fantasyesrb descriptors: fantasy violence up to 8 players
GUACAMELEE! SUPER TURBO CHAMPIONSHIP EDITION,88,guacamelee! is a metroid-vania style action-platformer set in a magical mexican inspired world the game draws its inspiration from traditional mexican culture and folklore and features many interesting and unique characters guacamelee builds upon the classic open-world metroid-vania style of games by adding a strong melee combat component a new dimension switching mechanic and cooperative same-screen multiplayer for the entire story the game also blurs the boundaries between combat and platforming by making many of the moves useful and necessary for both of these,7.0,Jul 2 2014,e10+ drinkbox studios action platformer 2d no online multiplayer
TONY HAWK'S PRO SKATER 1 + 2,88,drop back in with the most iconic skateboarding games ever made play tony hawk's pro skater & tony hawk's pro skater 2 in one epic collection rebuilt from the ground up in incredible hd all the pro skaters levels and tricks are back and fully-remastered plus more,8.0,Sep 4 2020,t vicarious visions sports individual skate / skateboard up to 8 players
MANIFOLD GARDEN,88,manifold garden is a first-person exploration game rediscover gravity and explore an escher-esque world of impossible architecture witness infinity in first person and master its rules to solve physics-defying puzzles cultivate a garden to open new paths forward where an eternal expanse awaits,6.0,Aug 18 2020, william chyr studio llc action adventure general no online multiplayer
ORI AND THE BLIND FOREST,88,ori and the blind forest is a bit of a genremix – it’s a ‘metroidvania‘ but with a stronger platforming focus and light rpg elements all set within an atmospheric world,8.6,Mar 11 2015,eofficial site: http://www.oriblindforest.com/ moon studios action platformer 2d no online multiplayer
YAKUZA KIWAMI 2,88,kazuma kiryu thought his tojo clan days were behind him he and the young girl in his care haruka sawamura have built a peaceful life from the ashes of conflict all it took was a single gunshot to shatter that peace yukio terada the fifth chairman of the tojo clan has been assassinated with war on the horizon the legendary dragon of dojima is pulled back into the world he wanted to leave behind kiryu must travel to sotenbori osaka in an attempt to broker peace between the rival clans but ryuji goda known as the dragon of kansai will stop at nothing to get his war in this world there can only be one dragon rebuilt from the ground up yakuza kiwami 2 uses the dragon engine to update one of the series stand-out titles into a modern classic the pc version includes all the enthusiast features you've come to expect: 4k resolution unlocked framerates customizable controls and robust graphics options play fan favorite minigames including updated versions of the cabaret club simulator and clan creator or check out all new additions like an arcade port of virtual on golf bingo and toylets also new to kiwami 2 is the 'majima saga' which features goro majima in his own playable adventure revealing events that occur prior to the game,7.9,Jul 29 2020,m ryu ga gotoku studios action adventure open-world no online multiplayer
APEX LEGENDS,88,conquer with character in apex legends a free-to-play battle royale shooter where legendary characters with powerful abilities team up to battle for fame and fortune on the fringes of the frontier master an ever-growing roster of diverse legends deep tactical squad play and bold new innovations that level-up the battle royale experience—all within a rugged world where anything goes welcome to the next evolution of battle royale,6.8,Feb 4 2019,t respawn entertainment action shooter first-person tactical online multiplayer
TALES FROM THE BORDERLANDS: A TELLTALE GAME SERIES,88,like all good tales there’s more than one side to a story especially one about a vault key the hyperion corporation bandits loot gangsters vault hunters secret atlas tech explosions getaways extortion betrayal and mayhem set after the events seen in borderlands 2 tales from the borderlands is about rhys a hyperion company man looking to become the next handsome jack and it’s also about fiona a pandoran con artist out to score the biggest of all swindles lured into danger by a vault key and all it promises the unlikely duo are thrown together with a common goal and a huge amount of mistrust who is telling the truth and why is it important that’s up to you to decide you are rhys…and you are also fiona because like every tale worth telling there are two…oh you read that part already? well it’s important to remember that there *are* two sides to every story and you my friend you will tell this tale or…tales through the choices that you make your every decision as both rhys and fiona will affect the people and world around you: this is a game where you are the final author in a brand new borderlands story set on the unforgiving world of pandora [telltale games],8.0,Oct 20 2015,m telltale games adventure general no online multiplayer
HELLBLADE: SENUA'S SACRIFICE,88,an independent game from ninja theory - makers of heavenly sword enslaved: odyssey to the west & dmc: devil may cry hellblade: senua's sacrifice takes you on a journey into savage viking heartland with senua a celtic warrior struggling with trauma & psychosis,7.8,Apr 11 2018,m ninja theory action adventure general no online multiplayer
