Title,Meta_score,Summary,User_score,GamesRelease,Descrition
ORI AND THE WILL OF THE WISPS,92,the little spirit ori is no stranger to peril but when a fateful flight puts the owlet ku in harm's way it will take more than bravery to bring a family back together heal a broken land and discover ori's true destiny from the creators of the acclaimed action-platformer ori and the blind forest comes the highly anticipated sequel embark on an all-new adventure in a vast world filled with new friends and foes that come to life in stunning hand-painted artwork set to a fully orchestrated original score ori and the will of the wisps continues the moon studios tradition of tightly crafted platforming action and deeply emotional storytelling,8.7,Nov 10 2020,e moon studios action platformer 2d no online multiplayer
TETRIS EFFECT: CONNECTED,89,tetris® effect: connected adds an all-new robust multiplayer expansion to the huge variety of addictive and innovative single-player modes that tetris effect is known for with all-new co-op and competitive online and local multiplayer modes tetris effect is tetris® like you've never seen it or heard it or felt it before—an incredibly addictive unique and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time from the people who brought you the award-winning rez infinite and legendary puzzle game lumines music backgrounds sounds special effects—everything down to the tetris pieces themselves pulse dance shimmer and explode in perfect sync with how you're playing making any of the game's 30+ stages and 10+ modes something you'll want to experience over and over again a challenge for the mind and a feast for all the senses tetris effect: connected is the perfect excuse to play tetris again and againand again and again and again and again and again and again and again and again and game leverages smart delivery allowing access to both the xbox one title and the xbox series x|s title when available,7.6,Nov 10 2020,e monstars inc. puzzle stacking up to 4 players
MORTAL KOMBAT 11 ULTIMATE,88,experience 2 robust and critically acclaimed story campaigns from mk11 & mk11: aftermath play as the complete 37-character roster including newly added fighters mileena rain & rambo thousands of skins & weapons & gear for an unprecedented level of fighter customization includes all previous guest fighters such as terminator joker spawn & robocop every mode included,6.9,Nov 17 2020, netherrealm studios action fighting 2d up to 8 players
HITMAN 3,87,death awaits hitman 3 is the dramatic conclusion to the world of assassination trilogy and takes players around the world on a globetrotting adventure to sprawling sandbox locations agent 47 returns as a ruthless professional for the most important contracts of his entire career supported by his agency handler diana burnwood 47 joins forces with his long-lost friend lucas grey their ultimate mission is to eliminate the partners of providence but they are forced to adapt as their hunt intensifies when the dust settles 47 and the world he inhabits will never be the same again top of the world every mission location in hitman 3 is meticulously detailed and packed full of creative opportunities players will have unrivalled freedom to complete their objectives and the game world will react to everything they do a platform of assassination the world of assassination trilogy is fully realised with hitman 3 as the ultimate place to play all three games players of previous hitman games will be pleased to know that it will be possible to 'import' locations that they own from the previous two hitman games into hitman 3 essentially putting all 20+ locations from the entire trilogy in one place playing the entire trilogy from beginning to end from within hitman 3 also means that the progression systems in hitman 3 work across all locations you can unlock an item in dubai and take it with you to paris for example hitman 2 players will have the option to carry over their hard-earned unlocks and progression into hitman 3,7.9,Jan 20 2021, io interactive action adventure general no online multiplayer
CONTROL: ULTIMATE EDITION,87,after a secretive agency in new york is invaded by an otherworldly threat you become the new director struggling to regain control this supernatural third-person action-adventure game will challenge you to master a combination of supernatural abilities modifiable loadouts and reactive environments while fighting through a deep and unpredictable world become the new director struggling to regain control you are jesse faden a young woman with a troubled past you become the new director of the bureau of control our frontline in researching and fighting against supernatural enemies like the hiss threatening our very existence you'll uncover the secret activities of the bureau agents and explore the strange and shifting halls of the bureau's headquarters the oldest house unlock new abilities with objects of power and upgrade your service weapon to take on bigger and more powerful enemies venture into lost sectors in the challenging expeditions mode solve puzzles and complete quests to discover the secret of jesse's past and the true purpose of the bureau of control above all you must defeat the relentless hiss control is jesse fadens's story the main plot focuses on her personal search for answers as she grows into the role of the director the world of control has its own story as do the allies jesse meets along the way side-quests and secrets are everywhere jesse works with other bureau agents decodes cryptic ciphers and discovers strange bureau experiments world within a location explore diverse environments and shifting architecture in a deep unpredictable world set within a sprawling new york building flexible and supernatural combat system define your playstyle by integrating supernatural abilities upgrades and modifiable loadouts reactive environments6 harness dynamic environmental destruction for exciting combat possibilities and master complex rituals to alter your surroundings reality meets the unexplainable dive into a dark and brutalist-inspired world where daily reality has been corrupted by an otherworldly force,5.0,Feb 2 2021,m remedy entertainment action adventure general no online multiplayer
CRASH BANDICOOT 4: IT'S ABOUT TIME,85,it's about time - for a brand-wumping new crash bandicoot game! crash fourward into a time shattered adventure with your favorite marsupials neo cortex and n tropy are back at it again and launching an all-out assault on not just this universe but the entire multiverse! crash and coco are here to save the day by reuniting the four quantum masks and bending the rules of reality new abilities? check more playable characters? yep alternate dimensions? obviously ridonkulous bosses? for sure same awesome sauce? you bet your sweet jorts wait are they actually jorts? not in this universe!,9.1,Mar 12 2021, toys for bob action platformer 3d no online multiplayer
DEVIL MAY CRY 5: SPECIAL EDITION,84,devil may cry is back the legendary stylish action game is better than ever in the ultimate version of this multi-award winning hit new features: - new playable character - dante's brother and arch-rival vergil - legendary dark knight mode - an extremely challenging horde mode featuring huge numbers of enemies - turbo mode - make the game even more intense by playing at 12x speed - ray-tracing support* - this next-generation graphics technology brings the already near-photorealistic world of dmc5 to a new level of unparalleled visual splendour - high frame-rate mode - experience super-smooth action these new features and modes utilise the power of xbox series x to bring you the craziest sexiest most stylish devil may cry experience ever,7.5,Nov 10 2020,m capcom action adventure general up to 3 players
PLANET COASTER: CONSOLE EDITION,84,welcome to a new era in coaster park simulation! bring your ideas to life with easy-to-use tools manage all aspects of your expanding empire and harness the world’s best creations from an endlessly creative community in the frontier workshop,4.7,Nov 10 2020, frontier developments strategy management business / tycoon no online multiplayer
ASSASSIN'S CREED VALHALLA,84,build your own viking legend become eivor a viking raider raised to be a fearless warrior and lead your clan from icy desolation in norway to a new home amid the lush farmlands of ninth-century england find your settlement and conquer this hostile land by any means to earn a place in valhalla england in the age of the vikings is a fractured nation of petty lords and warring kingdoms beneath the chaos lies a rich and untamed land waiting for a new conqueror will it be you? write your viking saga blaze your own path across england with advanced rpg mechanics fight brutal battles lead fiery raids or use strategy and alliances with other leaders to bring victory every choice you make in combat and conversation is another step on the path to greatness lead epic raids lead a crew of raiders and launch lightning-fast surprise attacks against saxon armies and fortresses claim the riches of your enemies' lands for your clan and expand your influence far beyond your growing settlement engage in visceral combat unleash the ruthless fighting style of a viking warrior as you dual-wield axes swords or even shields against relentless foes decapitate opponents in close-quarters combat riddle them with arrows or assassinate them with your hidden blade grow your settlement your clan's new home grows with your legend customise your settlement by building upgradable structures unlock new features and quests by constructing a barracks a blacksmith a tattoo parlour and much more share your custom raider recruit mercenary vikings designed by other players or create and customise your own to share online sit back and reap the rewards when they fight alongside your friends in their game worlds a dark age open world sail across the icy north sea to discover and conquer the broken kingdoms of england immerse yourself in activities like hunting and drinking games or engage in traditional norse competitions like flyting – or as it's better known verbally devastating rivals through the art of the viking rap battle [ubisoft],8.0,Nov 10 2020, ubisoft montreal action adventure open-world no online multiplayer
GEARS 5,83,the world is crumbling the swarm has corrupted the coalition's robot army and is descending upon human cities with danger closing in kait diaz breaks away to uncover her connection to the enemy and discovers the true danger to sera herself characters: kait diaz kait was born and raised beyond the cog's formal jurisdiction her mother reyna was the leader of her isolated outsider village yet kait also has deep family ties to the cog: her late father was a widely admired lieutenant colonel during the pendulum wars and her uncle oscar was a highly decorated frontline gear in the early years of the locust war even after her induction into the cog her true loyalties are unknown even to her kait's necklace kait hasn't told anyone about the locust necklace her mother gave her before she died and the pressure of this secret is eating her alive jd fenix the son of marcus fenix and anya stroud jd grew up surrounded by stories of his war-hero parents unfortunately an incident at settlement 2 left jd deeply disillusioned with the cog after which he and his best friend del went awol and joined an outsider village after helping to fight back the swarm's initial push jd has once again attracted the interest of first minister jinn much to his father's and friends' dismay del walker del lost both his parents in the difficult aftermath of the locust war and was siphoned into a boarding school where he met jd fenix as a young officer del was part of a disastrous mission at the cog's settlement 2 which shattered his faith in first minister jinn's government although del recognizes the need to fight with the cog in the aftermath of the swarm's emergence he is not necessarily thrilled to be doing soand he is wholly unprepared to learn details about the settlement 2 incident that jd has kept from him marcus fenix after the locust war marcus played a limited role in the cog even though his wife anya initially led the government after anya's death it became clear that the cog would favor authoritarian control over civic-minded rebuilding now that he and jd have been reunited marcus finds himself once again fighting for the cog but his frustrations with authority and conflicts with his son remain ever present game details: from one of gaming's most acclaimed sagas gears is bigger than ever with five thrilling modes and the deepest campaign yet three-player campaign co-op: battle alongside your friends in three-player online or split-screen co-op tours of duty: rank up from new recruit to four-star general in gears tours of duty take on new and exciting challenges earn awesome rewards and show off your loot boot camp: new to gears or just a little rusty? bootcamp is a fun way to learn the ropes from the basics to advanced combat techniques play as jack: play as jack your personal flying support bot that can protect allies and damage enemies - perfect for players new to gears visual showcase: play every mode in 4k and hdr at a smooth 60 frames per second on xbox one x,7.6,Nov 10 2020,m the coalition action shooter third-person arcade up to 10 players
